,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
835,Anthony Hernandez,Record: 7-2-0 (1 NC),"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",5.03,53%,6.61,44%,5.27,66%,85%,0.9,093e1f5bb73850be
836,Nohelin Hernandez,Record: 9-4-0,"5' 10""",135 lbs.,"71""",Orthodox,"Mar 01, 1994",1.32,34%,2.63,52%,0.71,50%,37%,0.0,f97c5433c77522d3
837,Paul Herrera,Record: 1-1-0,"5' 10""",185 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,440c9dbab63528fb
838,Chris Herrera,Record: 3-2-1,"5' 10""",185 lbs.,"70.0""",--,1984.04.23,2.04,37%,3.35,48%,1.8,100%,100%,0.0,f71028a6e5128856
839,Geane Herrera,Record: 9-3-0,"5' 5""",125 lbs.,"66""",Orthodox,"May 27, 1990",1.51,31%,5.07,52%,0.83,37%,38%,0.6,c169545ab0825f44
840,Alvaro Herrera Mendoza,Record: 9-6-0,"6' 0""",155 lbs.,"74""",Orthodox,"May 14, 1990",1.89,38%,3.4,55%,0.0,0%,33%,1.1,74d35fbc9c6a61bd
841,Felice Herrig,Record: 14-9-0,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",3.63,36%,4.84,49%,1.18,30%,72%,0.9,b6850671a008bf9a
842,Heath Herring,Record: 28-16-0 (1 NC),"6' 4""",250 lbs.,"78""",Orthodox,"Mar 02, 1978",2.37,50%,1.77,54%,1.22,50%,32%,0.7,7450525c7ba032a0
843,Jon Hess,Record: 1-1-0,"6' 7""",295 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,32a3025d5db456ae
844,Clint Hester,Record: 11-6-0,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",3.36,42%,3.44,56%,1.02,35%,60%,0.0,92b62174c175ce19
845,Brandon Hester,Record: 3-0-0,"6' 1""",205 lbs.,"74.0""",--,1986.05.11,3.53,53%,0.4,68%,4.0,80%,0%,0.0,13150cf89a5b81e0
846,Jimy Hettes,Record: 11-3-0,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 09, 1987",3.47,57%,3.5,57%,5.2,44%,61%,1.4,893d51aaf024eddd
847,Conor Heun,Record: 9-5-0,"5' 10""",155 lbs.,"72.0""",Orthodox,"Feb 11, 1979",2.92,36%,3.66,54%,2.45,31%,33%,0.3,fdb02029556ff4ed
848,Marcus Hicks,Record: 10-4-0 (1 NC),"5' 6""",155 lbs.,"64""",Southpaw,"Nov 25, 1975",1.42,43%,3.06,61%,2.7,53%,25%,4.0,e69c5ce12f4e762b
849,Jay Hieron,Record: 23-7-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jul 29, 1976",1.66,32%,1.89,61%,4.05,60%,66%,1.0,5bb0a618ad03ac64
850,Lee Higgins,Record: 2-1-0,"5'10""",155 lbs.,"74.0""",--,"Jul 14, 1980",1.02,26%,3.68,40%,0.0,0%,0%,0.0,88432fe79d5091d9
851,Jason High,Record: 21-6-0,"5' 8""",155 lbs.,"73""",Southpaw,"Oct 12, 1981",1.28,42%,1.56,48%,2.36,63%,37%,2.8,e5d03e4d966126bd
852,Richie Hightower,Record: 8-4-0 (1 NC),"5' 8""",170 lbs.,--,Orthodox,"Nov 26, 1974",4.62,35%,6.92,21%,3.46,100%,100%,0.0,318e629d1eb7aa49
853,Alex Higley,Record: 4-3-0,"5' 10""",145 lbs.,"70.0""",--,--,0.29,100%,1.74,60%,0.0,0%,0%,0.0,2af2d675f7d847e3
854,Corey Hill,Record: 6-9-0,"6' 4""",155 lbs.,"80""",Orthodox,"Oct 03, 1978",3.57,46%,1.61,70%,3.02,80%,100%,0.0,abbc737317f66b81
855,Isaiah Hill,Record: 5-7-1 (1 NC),"5' 10""",155 lbs.,--,--,--,4.84,50%,0.97,80%,0.0,0%,66%,14.5,86b30a86664cb6e4
856,Angela Hill,Record: 12-9-0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.7,49%,5.16,63%,0.41,37%,77%,0.1,f0feeb2192937424
857,Tyler Hill,Record: 8-2-0,"6' 3""",170 lbs.,"78""",Switch,"Aug 10, 1991",3.64,39%,5.33,47%,0.0,0%,0%,0.0,006efbb0c1621fd7
858,Jamahal Hill,Record: 8-0-0,"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",7.9,52%,2.81,48%,0.0,0%,53%,0.0,5444c5a201d3ee5a
859,Kailan Hill,Record: 4-1-0 (1 NC),"6' 1""",185 lbs.,"77""",Southpaw,"Dec 01, 1994",2.6,53%,4.8,37%,3.0,42%,0%,0.0,bc7efc037c5f6550
860,Branden Lee Hinkle,Record: 17-11-0 (1 NC),"6' 3""",235 lbs.,--,Orthodox,"Jul 29, 1973",2.61,69%,3.91,26%,4.34,57%,66%,4.3,06f0ffa6446c5b6d
861,Hatsu Hioki,Record: 29-10-2,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 18, 1983",2.42,42%,2.12,65%,2.55,56%,54%,0.6,ef7fa30364cbe7f2
862,Alan Hiro,Record: 14-5-4,"5' 5""",135 lbs.,--,Orthodox,"Apr 04, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,483b3170b3c05cf0
863,Kuniyoshi Hironaka,Record: 23-9-0,"5' 10""",168 lbs.,"70""",Orthodox,"Jun 17, 1976",1.98,40%,3.01,54%,1.91,30%,25%,0.6,9d4522df6fc49a47
864,Mizuto Hirota,Record: 18-10-2,"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",3.36,40%,3.5,54%,1.36,50%,58%,0.1,35faad160d346839
865,Yuji Hisamatsu,Record: 16-22-6,"5' 10""",185 lbs.,--,--,"Sep 18, 1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0,8332a607df696345
866,Kwan Ho Kwak,Record: 9-2-0,"5' 5""",135 lbs.,"70""",Switch,"Jun 18, 1989",3.29,41%,3.45,47%,0.78,100%,26%,0.0,c13042265355a290
867,Matt Hobar,Record: 9-3-0,"5' 10""",135 lbs.,"70""",Southpaw,"Jan 07, 1987",3.23,42%,4.27,52%,3.66,44%,50%,0.0,b57edace7b647f07
868,Bobby Hoffman,Record: 36-10-1 (2 NC),"6' 2""",245 lbs.,--,Orthodox,"Oct 28, 1968",2.02,70%,1.32,19%,1.17,50%,0%,1.2,afaad7d6a581e307
869,Sam Hoger,Record: 10-4-0,"6' 2""",205 lbs.,--,Orthodox,"Jun 28, 1980",1.07,25%,2.25,57%,1.12,38%,29%,1.3,84a067c46306a737
870,Andrew Holbrook,Record: 12-3-0,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",2.2,49%,3.0,54%,0.85,18%,10%,2.1,66ab58d0b3783607
871,Sean Holden,Record: 5-2-0,"5' 10""",170 lbs.,"69.0""",--,"Sep 17, 1984",2.4,59%,0.6,59%,5.0,83%,0%,2.0,acbb9c76f5894e36
872,Chris Holdsworth,Record: 6-0-0,"5' 11""",135 lbs.,"71.0""",--,"Oct 24, 1987",1.85,29%,1.94,58%,3.38,62%,100%,2.0,fc60ecf0671b9489
873,Kevin Holland,Record: 19-5-0,"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",4.69,56%,2.85,56%,0.96,36%,54%,0.8,3a46b268013afede
874,Roger Hollett,Record: 13-5-0,"5' 11""",205 lbs.,"70""",Orthodox,"Oct 08, 1978",1.83,47%,6.47,34%,1.0,28%,30%,0.0,27d65e9d0fba61ea
875,Max Holloway,Record: 21-6-0,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",6.47,44%,4.52,61%,0.22,83%,83%,0.4,150ff4cc642270b9
876,Gabrielle Holloway,Record: 6-5-0,"5' 3""",145 lbs.,"65.5""",--,"Apr 15, 1990",0.7,42%,3.07,34%,3.0,35%,16%,1.0,e30715382f42b772
877,Jeremie Holloway,Record: 8-3-0,"6' 0""",170 lbs.,"71.5""",--,"Sep 29, 1984",0.81,50%,0.51,79%,0.0,0%,0%,0.0,ee28aa7f1043756c
878,Holly Holm,Record: 14-5-0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",3.16,38%,2.8,57%,0.81,30%,76%,0.1,634e2fb70bde3fd5
879,Rex Holman,Record: 4-2-0,"6' 3""",205 lbs.,--,Southpaw,--,2.75,34%,7.25,40%,0.0,0%,100%,0.0,b5ea750025697880
880,Kurt Holobaugh,Record: 17-7-0 (1 NC),"5' 11""",155 lbs.,"70""",Orthodox,"Sep 08, 1986",4.51,42%,4.28,46%,0.97,36%,45%,0.7,a7151778b3381036
881,Paddy Holohan,Record: 12-2-1,"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",2.13,46%,2.81,46%,2.88,47%,71%,1.3,6e7c758f5cdec01a
882,Ben Holscher,Record: 4-0-0,"5' 11""",155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,6070f16bcfd89fcf
883,Mark Holst,Record: 12-6-0,"6' 0""",155 lbs.,--,Orthodox,"Aug 14, 1985",0.25,19%,1.67,47%,0.76,100%,60%,2.3,c11f50e9c1513ce9
884,Scott Holtzman,Record: 14-4-0,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",4.44,49%,3.47,54%,2.16,58%,66%,0.2,df1eb4354d18a906
885,Sabah Homasi,Record: 11-8-0,"6' 0""",170 lbs.,"72""",Orthodox,"Oct 19, 1988",4.98,48%,6.91,47%,2.8,50%,66%,0.0,71f048adbfed5b49
886,Mark Hominick,Record: 20-12-0,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1982",4.08,42%,4.18,69%,0.25,66%,71%,0.9,0a97691039c4bbfb
887,Barb Honchak,Record: 10-4-0,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 30, 1979",4.04,30%,4.67,66%,0.0,0%,0%,1.3,472f6f6e6d962f40
888,Chris Honeycutt,Record: 9-1-0 (1 NC),"5' 10""",170 lbs.,"73""",--,"Jul 25, 1988",2.99,44%,1.41,66%,3.4,45%,75%,0.0,4d2e3320d815f687
889,Satoshi Honma,Record: 4-6-3,"6' 1""",205 lbs.,--,Orthodox,"May 19, 1968",0.0,0%,0.0,0%,0.0,0%,0%,0.0,d2b1c1317a39f6c6
890,David Hood,Record: 1-3-0,"6' 0""",200 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,5af480a3b2e1726b
891,Lorenzo Hood,Record: 9-4-0,"6' 3""",265 lbs.,"78.0""",--,1989.03.02,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7f9abc4db2d05764
892,Dan Hooker,Record: 20-9-0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",4.98,48%,4.89,52%,0.74,34%,79%,0.3,193b9d1858bc4df3
893,Diana Belbita,Record: 13-6-0,"5' 7""",125 lbs.,"68""",Orthodox,"Jun 26, 1996",5.81,39%,6.49,52%,1.69,66%,64%,0.0,d7e40dca3ae125be
894,Alan Belcher,Record: 18-8-0,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",2.7,41%,3.1,59%,0.44,26%,55%,0.9,4130a743d9d22163
895,Vitor Belfort,Record: 26-14-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6,0ee783aa00e468f0
896,Danilo Belluardo,Record: 12-5-0,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 21, 1994",1.52,61%,4.79,41%,3.5,100%,50%,0.0,c3f6db17cea09ca7
897,Joey Beltran,Record: 17-14-0 (1 NC),"6' 1""",185 lbs.,"75""",Orthodox,"Dec 08, 1981",4.92,36%,5.27,54%,0.48,18%,75%,0.0,46baf0f57edfa4df
898,Marco Beltran,Record: 8-6-0,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",2.07,37%,1.93,63%,0.7,50%,46%,0.2,ec71a892fada28c7
899,Joseph Benavidez,Record: 28-7-0,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",3.54,34%,2.62,62%,1.48,30%,65%,0.6,80eacd4da0617c57
900,Mike Bencic,Record: 1-2-0,"6' 0""",215 lbs.,--,Orthodox,1966.07.03,0.0,0%,3.32,53%,0.0,0%,0%,0.0,a71feb7ea7592a71
901,Dave Beneteau,Record: 6-5-1,"6' 2""",250 lbs.,--,Orthodox,1968.07.16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,9fd1f08dd4aec14a
902,Karla Benitez,Record: 14-11-1 (1 NC),"5' 3""",113 lbs.,--,--,1979.02.15,0.0,0%,2.4,57%,0.0,0%,100%,0.0,6104730621ff318d
903,Gabriel Benitez,Record: 21-9-0,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",4.14,38%,3.16,71%,0.18,50%,56%,1.2,436f970c9ea9169c
904,Charles Bennett,Record: 30-33-2,"5' 8""",155 lbs.,--,Orthodox,"Nov 23, 1979",1.39,39%,1.35,64%,2.02,100%,36%,2.0,8dc4f34c1f50d00d
905,Josh Bennett,Record: 11-14-0,"6' 4""",259 lbs.,--,Orthodox,--,2.9,40%,5.8,43%,1.5,100%,100%,0.0,c3ac8d0da7b05772
906,DeAnna Bennett,Record: 8-3-1,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984",3.13,58%,3.27,58%,0.0,0%,0%,1.0,404ecb2700844072
907,Lance Benoist,Record: 7-2-0,"5' 11""",170 lbs.,"72""",Southpaw,"Aug 26, 1988",3.68,51%,2.7,56%,1.5,33%,61%,0.0,5431dccc09118234
908,Joe Benoit,Record: 11-4-0,"5' 9""",170 lbs.,--,Orthodox,"Mar 12, 1982",0.0,0%,0.0,100%,0.0,0%,0%,0.0,a30f6d375dea5f9b
909,Ryan Benoit,Record: 10-7-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2.95,41%,3.4,60%,0.33,25%,70%,0.5,20999e27ddd94bda
910,Pat Benson,Record: 3-5-3,"5' 9""",155 lbs.,--,--,1974.07.14,0.0,0%,0.0,0%,0.0,0%,0%,0.0,a25f3dc0df974597
911,Len Bentley,Record: 10-6-0,"5' 9""",155 lbs.,--,--,"Nov 30, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,592d23aed850e652
912,Steve Berger,Record: 21-23-2 (1 NC),"5' 11""",170 lbs.,--,Orthodox,"May 20, 1973",1.0,27%,3.26,36%,0.84,40%,16%,1.7,21b1132949f2a9b0
913,Kenneth Bergh,Record: 8-0-0 (1 NC),"6' 2""",205 lbs.,"74""",Orthodox,"Jun 26, 1989",4.56,75%,1.27,28%,0.0,0%,0%,0.0,aa8189053b3a8994
914,Bret Bergmark,Record: 6-1-1,"5' 9""",170 lbs.,--,--,"Nov 24, 1973",2.78,52%,2.78,37%,4.17,100%,50%,4.2,2891c9f7b26b26fc
915,Keith Berish,Record: 5-1-0 (1 NC),"6' 0""",205 lbs.,"73""",Orthodox,"Nov 14, 1985",3.58,36%,4.81,62%,1.76,40%,0%,0.0,e3779ef06e98f185
916,Dennis Bermudez,Record: 17-9-0,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",4.42,46%,3.07,59%,3.89,40%,82%,1.1,6f242453c91a5af0
917,Manny Bermudez,Record: 14-2-0,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994",2.92,61%,2.68,46%,3.06,54%,0%,3.1,2dc1bc1a02961656
918,Talita Bernardo,Record: 6-4-0,"5' 4""",135 lbs.,"68""",Orthodox,"Mar 04, 1987",3.12,42%,4.04,55%,1.62,22%,28%,0.5,5b2325cd70dbe2ea
919,Dave Berry,Record: 0-1-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,b3bbe88fecd6a0d2
920,Keith Berry,Record: 15-14-1 (1 NC),"6' 1""",185 lbs.,"73.0""",--,"Oct 25, 1987",0.27,12%,6.27,28%,0.0,0%,0%,0.0,0b935b9bbbe5fc07
921,Dieusel Berto,Record: 0-3-0,"5' 9""",200 lbs.,--,--,1960.07.16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0db70ca89e1c7374
922,Edson Berto,Record: 17-12-1,"5' 6""",155 lbs.,"69.0""",Orthodox,"Jul 05, 1983",1.76,36%,4.62,47%,5.47,40%,0%,2.7,66766984842c13dc
923,Allen Berube,Record: 4-3-0,"5' 8""",155 lbs.,--,Orthodox,"Aug 25, 1974",0.92,80%,0.92,33%,6.87,100%,0%,3.4,aebfb84d1f6d2d8c
924,Anton Berzin,Record: 5-1-0,"6' 2""",205 lbs.,"77.5""",Orthodox,"Sep 29, 1989",4.4,46%,6.8,67%,2.0,28%,0%,1.0,8ba8e8d7eafa7267
925,Scott Bessac,Record: 4-6-0,"6' 4""",245 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,3f24c96753dbd9f9
926,Matt Bessette,Record: 22-9-0 (1 NC),"5' 10""",145 lbs.,"70""",Orthodox,"Dec 28, 1984",4.36,41%,4.45,58%,0.64,28%,61%,0.3,0b8d512c79b4baf3
927,Khadzhi Bestaev,Record: 10-4-0,"6' 6""",185 lbs.,"76""",--,"Jul 16, 1988",6.15,29%,10.0,43%,0.0,0%,0%,0.0,e05f4ce199baca91
928,Fernando Bettega,Record: 7-5-0,"6'0""",170 lbs.,--,--,"Mar 10, 1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,a524710c3ef918fa
929,Arjan Bhullar,Record: 9-1-0,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",2.33,56%,3.25,59%,1.73,75%,100%,0.0,7e511f8d842a109d
930,KB Bhullar,Record: 8-1-0,"6' 4""",185 lbs.,"78""",Switch,"Oct 12, 1991",1.18,13%,10.0,37%,0.0,0%,0%,0.0,9cd047a828dd7515
931,Bibulatov Magomed,Record: 14-2-0,"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",3.6,51%,1.83,52%,2.85,40%,75%,0.0,87f19d19f4cb73f8
932,David Bielkheden,Record: 24-12-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",1.11,57%,1.64,54%,2.65,63%,14%,0.0,1efa064872f089d0
933,Jeremiah Billington,Record: 11-2-0,"5' 9""",205 lbs.,--,Orthodox,"Nov 14, 1977",1.6,62%,7.06,35%,0.0,0%,50%,0.0,b3b6e80b7d5f8f0d
934,Scott Bills,Record: 7-9-1,"5' 10""",170 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,53f02bbc41d99432
935,Anthony Birchak,Record: 13-4-0,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",3.98,35%,2.26,66%,0.68,16%,83%,0.0,c5a126ace82a6025
936,Chris Birchler,Record: 7-4-0,"6' 3""",205 lbs.,"79""",Switch,"Jun 05, 1987",9.35,46%,14.83,35%,0.0,0%,0%,0.0,8a22c6b4d29880a3
937,Michael Bisping,Record: 30-9-0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",4.33,38%,2.71,65%,1.05,43%,63%,0.3,2b93ebd9f5417ad2
938,Amaury Bitetti,Record: 5-2-0,"5' 9""",185 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7a359ef685a304a7
939,Simon Biyong,Record: 7-1-0,"6'6""",205 lbs.,"74.0""",--,"Apr 05, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,27ab7257bf6a3b65
940,Jan Blachowicz,Record: 27-8-0,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.49,48%,2.74,54%,1.1,52%,65%,0.2,99df7d0a2a08a8a8
941,Jason Black,Record: 23-4-1,"5' 8""",155 lbs.,--,Orthodox,"Jul 15, 1972",1.06,47%,2.6,45%,0.48,33%,28%,6.2,b2f743746e8dcfa2
942,Brad Blackburn,Record: 18-13-1 (1 NC),"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,35%,3.59,65%,0.93,50%,76%,0.7,7e69a4b0961aa555
943,Jason Blackford,Record: 3-3-0,"5'7""",169.0 lbs,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,619d807fa54ae8f7
944,Tom Blackledge,Record: 10-7-0,"6'0""",205 lbs.,"77.0""",Orthodox,--,2.91,61%,2.55,46%,0.0,0%,75%,0.0,2adb11835acd815b
945,Sherrard Blackledge,Record: 5-0-0,"5' 11""",155 lbs.,"75""",Orthodox,"Aug 16, 1993",4.93,50%,4.0,59%,6.0,40%,0%,0.0,0e5c79b3594ff0ad
946,Maximo Blanco,Record: 12-8-1 (1 NC),"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",4.11,44%,3.19,66%,1.85,36%,63%,0.3,4a1329cc8eb0928a
947,David Blanco,Record: 2-0-0,"5' 7""",145 lbs.,--,--,1986.11.15,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ebf298f8ac7e232b
948,Curtis Blaydes,Record: 14-2-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.55,53%,1.73,57%,6.98,55%,33%,0.0,fa6796c55d6c5440
949,Arlene Blencowe,Record: 9-6-0,"5' 5""",145 lbs.,"67.0""",--,"Apr 11, 1983",2.31,43%,2.1,43%,0.0,0%,55%,0.6,35d6337320a4ae48
950,Byron Bloodworth,Record: 6-3-0,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983",1.82,28%,5.18,50%,0.0,0%,0%,0.0,ecdf14f4f8643d39
951,Dashawn Boatwright,Record: 3-1-0,"6' 0""",205 lbs.,"76.0""",Orthodox,"Feb 29, 1988",0.0,0%,52.5,12%,0.0,0%,0%,0.0,046a85108610c0d2
952,Chase Hooper,Record: 9-1-1,"6' 1""",145 lbs.,"74""",Southpaw,"Sep 13, 1999",4.46,44%,4.05,35%,0.43,12%,66%,2.2,971246648e162f0d
953,Darrell Horcher,Record: 13-4-0,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",2.05,44%,4.21,39%,0.35,50%,47%,0.7,18e8b7070228e728
954,Moti Horenstein,Record: 1-6-0,"6' 4""",230 lbs.,--,Orthodox,1964.03.23,0.0,0%,0.0,0%,0.0,0%,0%,0.0,baf942f4bcb09894
955,Yoshinori Horie,Record: 8-2-0,"5' 8""",145 lbs.,"70""",Orthodox,"May 10, 1995",2.76,49%,5.65,48%,0.0,0%,0%,0.0,3fa7688bfe48a493
956,Kyoji Horiguchi,Record: 19-2-0,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990",3.6,45%,2.45,62%,2.0,44%,55%,0.0,98aa60cf58071fd6
957,Jeremy Horn,Record: 91-22-5 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,"Aug 25, 1975",1.19,39%,1.99,55%,1.83,38%,29%,1.1,8d26912cd2aeb366
958,Matt Horning,Record: 20-25-0 (1 NC),"5' 4""",125 lbs.,--,--,1976.08.18,0.0,0%,0.0,0%,0.0,0%,0%,0.0,21632ba272c0785a
959,Chris Horodecki,Record: 21-7-1 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Sep 24, 1987",4.59,41%,3.16,65%,1.52,55%,37%,0.9,e29cf523ebd155c5
960,Jamey-Lyn Horth,Record: 4-0-0,"5' 7""",125 lbs.,"67.0""",--,"Mar 30, 1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,5c637af9472ae7cc
961,Matt Horwich,Record: 30-25-1,"6' 1""",185 lbs.,"71.0""",Orthodox,"Oct 02, 1978",1.11,62%,2.16,38%,0.33,9%,28%,2.7,049d698d773eb3e1
962,John Hosman,Record: 18-8-1,"5' 10""",135 lbs.,--,Southpaw,"Nov 13, 1980",1.11,38%,1.52,45%,0.0,0%,46%,0.0,57591bbf1623574e
963,Saeed Hosseini,Record: 0-1-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,21f2974fd08085e3
964,Jeff Hougland,Record: 10-6-0,"5' 7""",135 lbs.,"68""",Orthodox,"Aug 02, 1978",1.86,48%,3.46,47%,0.86,18%,0%,1.1,97a8f39186f489db
965,Trey Houston,Record: 11-4-0,"5' 11""",185 lbs.,"68.0""",--,1988.06.08,0.0,0%,0.0,0%,0.0,0%,0%,0.0,c6668eeb261588d3
966,Jamie Houston,Record: 3-0-0,"6'2""",185 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,4b1896310a907656
967,Brian Houston,Record: 4-6-0,"6' 2""",185 lbs.,"78""",Orthodox,"Apr 26, 1981",1.9,35%,3.67,53%,0.95,100%,87%,0.0,36fbaa49a09ff997
968,Harold Howard,Record: 1-3-0,"6' 2""",240 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,a2b06ca02bca14c0
969,John Howard,Record: 24-13-0,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",2.15,50%,3.08,51%,2.7,49%,53%,0.4,fc31f896cde2bc2e
970,Shane Howell,Record: 13-10-0,"5' 8""",125 lbs.,"69""",Orthodox,"Nov 28, 1983",1.27,32%,2.55,42%,0.0,0%,20%,0.0,a7de976620f2ed13
971,Carlos Huachin,Record: 10-5-1,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996",2.1,21%,4.8,50%,0.0,0%,66%,0.0,225def29ecfe0fc1
972,Brady Huang,Record: 11-2-0,"5' 9""",135 lbs.,"69""",Orthodox,"Dec 16, 1992",4.62,37%,10.77,30%,0.0,0%,0%,0.0,1ec1b6a7a29ffc71
973,Austin Hubbard,Record: 12-5-0,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",3.45,48%,2.58,58%,0.76,60%,53%,0.0,d2cd7a69cc55e7ed
974,Collin Huckbody,Record: 8-2-0,"6' 3""",185 lbs.,"76""",Orthodox,"Sep 29, 1994",2.05,60%,2.73,42%,10.23,100%,0%,20.4,f372a848d250e006
975,Alex Huddleston,Record: 6-2-0,"6' 7""",254 lbs.,"81.5""",--,"Aug 11, 1986",2.47,42%,2.59,67%,0.0,0%,0%,0.9,8b9197746bd3e005
976,Roger Huerta,Record: 23-9-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983",3.64,36%,2.33,56%,2.13,46%,52%,0.5,daf1b84aebd6602b
977,Casey Huffman,Record: 3-1-0,"6' 3""",185 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,737d93a42b8c2e94
978,Matt Hughes,Record: 45-9-0,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,621a6c59f88a44fe
979,Mark Hughes,Record: 6-2-0,"5' 9""",205 lbs.,--,Southpaw,"Oct 13, 1973",0.9,47%,0.4,42%,3.0,50%,0%,4.5,d62bb4d84a7267ba
980,Jeff Hughes,Record: 10-4-0 (1 NC),"6' 2""",250 lbs.,"77""",Orthodox,"May 17, 1988",3.95,51%,3.67,60%,0.71,50%,45%,0.0,6a11e325aa60ad02
981,David Hulett,Record: 22-10-0,"5' 10""",170 lbs.,--,--,"Sep 07, 1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,b0718335e9868cfd
982,Bryan Humes,Record: 6-2-0,"6'2""",265 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,b9c75e7fc910f587
983,Abongo Humphrey,Record: 7-3-0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8,cb1b4d237b0079e6
